"Rafael Nadal","Andreas Seppi",12,4
"Novak Djokovic","Pablo Carreno Busta",12,1
"Stan Wawrinka","Nicolas Almagro",0,0
"Roger Federer","Lukas Rosol",12,5
"Guillermo Garcia-Lopez","Tomas Berdych",16,10
"David Ferrer","Grigor Dimitrov",12,6
"Milos Raonic","Tommy Robredo",12,7
"Jo-Wilfried Tsonga","Fabio Fognini",17,10
"Rafael Nadal","Teymuraz Gabashvili",12,5
"Novak Djokovic","Albert Montanes",12,1
"Stan Wawrinka","Marin Cilic",12,2
"Roger Federer","Radek Stepanek",12,3
"Tomas Berdych","Dmitry Tursunov",13,9
"David Ferrer","Jeremy Chardy",12,3
"Milos Raonic","Yen-Hsun Lu",18,10
"Jo-Wilfried Tsonga","Philipp Kohlschreiber",13,14
"Fabio Fognini","Roberto Bautista Agut",13,10
"Grigor Dimitrov","Albert Ramos-Vinolas",16,13
"Guillermo Garcia-Lopez","Alexandr Dolgopolov",13,6
"Pablo Carreno Busta","Gael Monfils",13,9
"Fabio Fognini","Joao Sousa",18,16
"Tommy Robredo","David Goffin",12,5
"Grigor Dimitrov","Marcel Granollers",16,10
"Gael Monfils","Kevin Anderson",13,10
"Roberto Bautista Agut","Vasek Pospisil",12,4
"Marin Cilic","Marinko Matosevic",15,9
"Teymuraz Gabashvili","Gilles Simon",16,14
"Guillermo Garcia-Lopez","Benjamin Balleret",13,7
"Philipp Kohlschreiber","Simone Bolelli",12,7
"Nicolas Mahut","Dominic Thiem",16,11
"Albert Ramos-Vinolas","Jarkko Nieminen",13,7
"Radek Stepanek","Ivo Karlovic",12,3
"Albert Ramos-Vinolas","Lukasz Kubot",13,9
"David Goffin","Stephane Robert",16,9
"David Goffin","Denis Istomin",8,5
"Albert Ramos-Vinolas","Carlos Berlocq",13,15
"Kei Nishikori","Santiago Giraldo",12,4
"Kei Nishikori","Ernests Gulbis",12,6
"Nicolas Almagro","Rafael Nadal",15,16
"Kei Nishikori","Marin Cilic",12,4
"Santiago Giraldo","Philipp Kohlschreiber",10,7
"Rafael Nadal","Ivan Dodig",12,6
"Kei Nishikori","Andrey Golubev",12,4
"Marin Cilic","Tommy Robredo",20,18
"Philipp Kohlschreiber","Jurgen Melzer",13,8
"Santiago Giraldo","Dominic Thiem",17,15
"Rafael Nadal","Albert Ramos-Vinolas",13,10
"Teymuraz Gabashvili","David Ferrer",12,6
"Santiago Giraldo","Fabio Fognini",10,0
"Kei Nishikori","Roberto Bautista Agut",16,10
"Philipp Kohlschreiber","Edouard Roger-Vasselin",13,8
"Marin Cilic","Andrey Kuznetsov",13,7
"Ivan Dodig","Feliciano Lopez",12,5
"Dominic Thiem","Marcel Granollers",15,11
"Roberto Bautista Agut","Lukasz Kubot",12,1
"Marinko Matosevic","Joao Sousa",12,5
"Albert Ramos-Vinolas","Nikolay Davydenko",12,8
"Dominic Thiem","Radek Stepanek",12,8
"Dominic Thiem","Marton Fucsovics",13,8
"Dominic Thiem","Steven Diez",12,6
"Grigor Dimitrov","Lukas Rosol",13,7
"Grigor Dimitrov","Gael Monfils",5,1
"Grigor Dimitrov","Sergiy Stakhovsky",12,7
"Gael Monfils","Paul-Henri Mathieu",16,14
"Lukas Rosol","Gilles Simon",13,8
"Grigor Dimitrov","Jiri Vesely",13,8
"Gael Monfils","Ricardas Berankis",12,4
"Gilles Simon","Victor Hanescu",14,12
"Marius Copil","Adrian Mannarino",12,5
"Martin Klizan","Fabio Fognini",14,9
"Fabio Fognini","Jan-Lennard Struff",12,4
"Fabio Fognini","Thomaz Bellucci",12,4
"Fabio Fognini","Dustin Brown",13,8
"Andreas Seppi","Albert Ramos-Vinolas",12,7
"Denis Istomin","Philipp Kohlschreiber",15,15
"Jan-Lennard Struff","Feliciano Lopez",12,7
"Dustin Brown","Ivo Karlovic",14,12
"Albert Ramos-Vinolas","Lleyton Hewitt",18,8
"Albert Ramos-Vinolas","Norbert Gombos",17,15
"Albert Ramos-Vinolas","Yann Marti",15,9
"Albert Ramos-Vinolas","Adrian Obert",12,3
"Carlos Berlocq","Tomas Berdych",13,12
"Tomas Berdych","Victor Hanescu",12,4
"Tomas Berdych","Leonardo Mayer",15,14
"Carlos Berlocq","Milos Raonic",13,9
"Tomas Berdych","Somdev Devvarman",12,5
"Milos Raonic","Pablo Cuevas",12,5
"Gastao Elias","Guillermo Garcia-Lopez",15,12
"Leonardo Mayer","Joao Sousa",15,9
"Andrey Golubev","Adrian Mannarino",15,13
"Rafael Nadal","Kei Nishikori",11,10
"Rafael Nadal","Roberto Bautista Agut",12,7
"Kei Nishikori","David Ferrer",18,16
"Rafael Nadal","Tomas Berdych",12,6
"David Ferrer","Ernests Gulbis",13,9
"Kei Nishikori","Feliciano Lopez",12,8
"Roberto Bautista Agut","Santiago Giraldo",12,7
"Rafael Nadal","Jarkko Nieminen",12,5
"David Ferrer","John Isner",12,8
"Tomas Berdych","Grigor Dimitrov",15,11
